process,x,y,spearman_r,spearman_p,pearson_r,pearson_p,n
popularity,stars,cbo_mean,0.023587408240862345,0.46563642617284695,-0.12382349439366937,0.00012088019569671761,959
popularity,stars,cbo_median,0.049482972738932,0.1256916411713649,-0.073957103138761,0.02199620207282921,959
popularity,stars,cbo_std,0.013628902534070772,0.6733715924099135,-0.08710190362151969,0.006955637600559924,959
popularity,stars,dit_mean,-0.045118365308568366,0.1626838295026555,-0.11424138751196397,0.0003929215052613549,959
popularity,stars,dit_median,-0.03388337933679288,0.29453557356933135,-0.04760994627255154,0.14067438661517698,959
popularity,stars,dit_std,0.010864603868347332,0.7368533905580333,-0.005358441615722794,0.8683745391659071,959
popularity,stars,lcom_mean,0.03638376155854652,0.2603240589921632,0.020835374976889833,0.5192819817516168,959
popularity,stars,lcom_median,0.005961930037947975,0.8537088838281763,-0.021218588552903584,0.5116257703159447,959
popularity,stars,lcom_std,0.06896695922979226,0.032719582370843825,0.01804855663367903,0.5766810216359449,959
maturity,age_years,cbo_mean,-0.0015494490245476075,0.961779713233301,-0.006202615448044218,0.8478736324026831,959
maturity,age_years,cbo_median,0.017024213272564682,0.5985049216177339,-0.000675283387095018,0.9833376166037247,959
maturity,age_years,cbo_std,0.05563244777581135,0.08508817000879611,0.044486751121253776,0.1686550590470655,959
maturity,age_years,dit_mean,0.2902021952657024,4.5872723465798684e-20,0.19350908533925154,1.5229377679079201e-09,959
maturity,age_years,dit_median,0.09826450843255001,0.002315725512789979,0.06900075747044172,0.03263408205035797,959
maturity,age_years,dit_std,0.2864630785845742,1.4314229615418924e-19,0.017597164749236532,0.5862518523716288,959
maturity,age_years,lcom_mean,0.2014064901890022,3.102508407671276e-10,0.02801136863091798,0.38622312989744306,959
maturity,age_years,lcom_median,0.07893911904425378,0.014477456672206719,0.015375210648966835,0.6344004059292613,959
maturity,age_years,lcom_std,0.20569631943036984,1.2716423696688247e-10,0.02818697249463581,0.38325135679996714,959
activity,releases,cbo_mean,0.4025377822378366,1.1679462713395784e-38,0.20573482652013514,1.2613902722747452e-10,959
activity,releases,cbo_median,0.2897580888335479,5.2558430195130825e-20,0.14635053828179181,5.345350294750483e-06,959
activity,releases,cbo_std,0.4516820505666037,2.1743934534653813e-49,0.2504000150112532,3.548890311691589e-15,959
activity,releases,dit_mean,0.21200424087216757,3.3059181681854335e-11,0.05641966440062081,0.08075865429994845,959
activity,releases,dit_median,-0.047367511088929296,0.1427099379632491,-0.04207353439080888,0.19298517389035602,959
activity,releases,dit_std,0.319700385869719,3.142288278488062e-24,0.026912488103923486,0.40513673480069146,959
activity,releases,lcom_mean,0.32313761479254804,9.563436906151473e-25,-0.012722304953017871,0.6939628307580292,959
activity,releases,lcom_median,0.09197854969943756,0.004362361778868723,-0.01419567912320044,0.6606204781431284,959
activity,releases,lcom_std,0.37226813240864864,6.874458712232899e-33,-0.013537021570954705,0.6754476735237841,959
size,code,cbo_mean,0.4103606940933352,2.9929553011668595e-40,0.2425405460498759,2.634485842905888e-14,959
size,code,cbo_median,0.29871001858250057,3.230104412613936e-21,0.14381177227437653,7.786377767585176e-06,959
size,code,cbo_std,0.5517094426505765,1.7485317873596725e-77,0.3963483208559621,1.9802175259732372e-37,959
size,code,dit_mean,0.29408708334102657,1.3809790843506675e-20,0.12082484555933878,0.0001764550199804736,959
size,code,dit_median,-0.03725126515037573,0.24912289210119712,-0.008618110911904092,0.7898232312877301,959
size,code,dit_std,0.4977010730068818,3.667787505144869e-61,0.13576741707900247,2.4596418971519167e-05,959
size,code,lcom_mean,0.46027123903212375,1.8799181688753884e-51,0.04359719527318773,0.17734128900369597,959
size,code,lcom_median,0.1392314080342531,1.5105171809833794e-05,0.015137552662018577,0.6396480026371687,959
size,code,lcom_std,0.5848031500719191,4.63713980371053e-89,0.03767285139899325,0.2438026241464297,959
size,comment,cbo_mean,0.37402132110379605,3.3063577375012674e-33,0.195259110852813,1.076533238422281e-09,959
size,comment,cbo_median,0.2853114547312175,2.0253074313882613e-19,0.12965769478529848,5.649859337403642e-05,959
size,comment,cbo_std,0.49375461244112967,4.4245385208227285e-60,0.32735493710625596,2.175460375115346e-25,959
size,comment,dit_mean,0.27848039590235674,1.535300702782616e-18,0.13323572873387757,3.486817970483008e-05,959
size,comment,dit_median,-0.03342096299259956,0.3011781505451811,0.0009535481820836314,0.9764732264628917,959
size,comment,dit_std,0.482833496511864,3.6808192008863666e-57,0.0945070671069196,0.0033960547632840435,959
size,comment,lcom_mean,0.4374095670902126,4.344190908173749e-46,0.04010564177717833,0.2146575019999845,959
size,comment,lcom_median,0.11066410095495033,0.0005967319481647921,0.04034866181269921,0.21189009359131133,959
size,comment,lcom_std,0.5539849660829098,3.0753216668322773e-78,0.031777406441174924,0.32558834313038715,959
size,files,cbo_mean,0.3648868170883018,1.4266537868712093e-31,0.2257219543601348,1.5222259719914274e-12,959
size,files,cbo_median,0.3097746948757412,8.950842097871678e-23,0.149838677977704,3.1552568019495684e-06,959
size,files,cbo_std,0.4574868423848814,8.900944664777269e-51,0.35462296810042726,8.499512181930061e-30,959
size,files,dit_mean,0.20998359546329087,5.1136201817254925e-11,0.10010528182383202,0.0019105949295727446,959
size,files,dit_median,-0.05032085940711422,0.11940478432150183,-0.00671546098417674,0.8354681666692668,959
size,files,dit_std,0.41044636358616365,2.87367797513069e-40,0.07948352550814777,0.013812232537673209,959
size,files,lcom_mean,0.30897873906345646,1.1644942031248202e-22,0.03683935050969583,0.25439886223353997,959
size,files,lcom_median,0.08671154642904325,0.007213598822547177,0.00819920182738929,0.7998171638183127,959
size,files,lcom_std,0.45556912072514133,2.5758507795666187e-50,0.0342424766010421,0.28944530377396677,959
